DEBUG 2014-09-12 14:53:22,727 StrategyBuildFixture: Iniciando Creacion de FIXTURE
DEBUG 2014-09-12 14:53:40,107 StrategyBuildFixture: Construyendo las jornadas necesarias para que se enfrenten los: 4
DEBUG 2014-09-12 14:54:10,057 StrategyBuildFixture: Se le asigno a cada equipo un identificador parcial para generar los encuentros
DEBUG 2014-09-12 14:54:10,781 StrategyBuildFixture: {0=com.futbol.manager.model.equipo.Equipo@56e2ecc7, 1=com.futbol.manager.model.equipo.Equipo@4c272961, 2=com.futbol.manager.model.equipo.Equipo@1f0dc656, 3=com.futbol.manager.model.equipo.Equipo@41584807}
DEBUG 2014-09-12 14:55:12,462 StrategyBuildFixture: Iniciando Creacion de FIXTURE
DEBUG 2014-09-12 14:55:12,487 StrategyBuildFixture: Construyendo las jornadas necesarias para que se enfrenten los: 4
DEBUG 2014-09-12 14:55:14,985 StrategyBuildFixture: Se le asigno a cada equipo un identificador parcial para generar los encuentros
DEBUG 2014-09-12 14:55:15,582 StrategyBuildFixture: {0=com.futbol.manager.model.equipo.Equipo@478e4327[nombre=Sacachispa,administrador=<null>,jugadores=<null>], 1=com.futbol.manager.model.equipo.Equipo@4cdada24[nombre=Turin,administrador=<null>,jugadores=<null>], 2=com.futbol.manager.model.equipo.Equipo@342798e7[nombre=Manchester,administrador=<null>,jugadores=<null>], 3=com.futbol.manager.model.equipo.Equipo@4a53fb57[nombre=Boca burros,administrador=<null>,jugadores=<null>]}
DEBUG 2014-09-12 14:56:13,202 StrategyBuildFixture: Cantidad de encuentros calculados:6
DEBUG 2014-09-12 14:56:13,617 StrategyBuildFixture: Cantidad de jornadas necesarias para el torneo:3
DEBUG 2014-09-12 14:56:14,548 StrategyBuildFixture: Cantidad de fechas que deberan jugarse por jornada:2
DEBUG 2014-09-12 14:57:49,749 StrategyBuildFixture: Jornada: 1
DEBUG 2014-09-12 14:57:50,554 StrategyBuildFixture: Equipo: 1 VS Equipo: 2
DEBUG 2014-09-12 15:00:20,113 StrategyBuildFixture: Jornada: 1
DEBUG 2014-09-12 15:00:20,652 StrategyBuildFixture: Equipo: 0 VS Equipo: 3
DEBUG 2014-09-12 15:12:06,391 StrategyBuildFixture: Iniciando Creacion de FIXTURE
DEBUG 2014-09-12 15:12:06,401 StrategyBuildFixture: Construyendo las jornadas necesarias para que se enfrenten los: 4
